area_scaled,age_0_-_1,age_6_-_9,age_1_-_5,age_10_-_19,age_20_-_40,floor_numeric,total_rooms
-1.9830289348000483,0.0,0.0,0.0,0.0,1.0,-2.0,4.0
-1.9830289348000483,0.0,0.0,0.0,0.0,1.0,0.0,4.0
-1.9830289348000483,0.0,1.0,0.0,0.0,0.0,0.0,4.0
-1.9830289348000483,0.0,1.0,0.0,0.0,0.0,1.0,4.0
-1.9830289348000483,0.0,0.0,0.0,0.0,1.0,1.0,4.0
-1.9830289348000483,0.0,0.0,0.0,0.0,1.0,0.0,4.0
-1.9830289348000483,0.0,0.0,0.0,0.0,1.0,0.0,2.0
-1.9566815115746066,0.0,0.0,0.0,0.0,1.0,2.0,4.0
-1.9566815115746066,0.0,0.0,0.0,0.0,1.0,1.0,4.0
-1.9303340883491649,0.0,0.0,0.0,0.0,1.0,3.0,2.0
-1.9303340883491649,0.0,0.0,0.0,0.0,1.0,-2.0,3.0
-1.9039866651237232,0.0,1.0,0.0,0.0,0.0,1.0,2.0
-1.9039866651237232,1.0,0.0,0.0,0.0,0.0,2.0,4.0
-1.8776392418982817,0.0,0.0,0.0,0.0,1.0,2.0,2.0
-1.85129181867284,1.0,0.0,0.0,0.0,0.0,0.0,4.0
-1.85129181867284,0.0,0.0,1.0,0.0,0.0,0.0,2.0
-1.85129181867284,0.0,0.0,0.0,0.0,1.0,2.0,4.0
-1.85129181867284,0.0,0.0,0.0,0.0,1.0,3.0,4.0
-1.85129181867284,0.0,0.0,1.0,0.0,0.0,3.0,4.0
-1.85129181867284,0.0,0.0,0.0,0.0,1.0,0.0,4.0
-1.85129181867284,0.0,1.0,0.0,0.0,0.0,0.0,4.0
-1.85129181867284,0.0,1.0,0.0,0.0,0.0,1.0,2.0
-1.85129181867284,0.0,1.0,0.0,0.0,0.0,0.0,4.0
-1.7985969722219566,0.0,0.0,0.0,0.0,1.0,3.0,4.0
-1.772249548996515,0.0,0.0,0.0,0.0,1.0,-2.0,4.0
-1.772249548996515,0.0,0.0,1.0,0.0,0.0,1.0,3.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,0.0,3.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,0.0,3.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,3.0,4.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,3.0,4.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,-2.0,2.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,2.0,4.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,0.0,2.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,0.0,2.0
-1.7195547025456317,0.0,0.0,1.0,0.0,0.0,1.0,4.0
-1.7195547025456317,0.0,1.0,0.0,0.0,0.0,0.0,4.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,-2.0,4.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,2.0,4.0
-1.7195547025456317,0.0,0.0,1.0,0.0,0.0,3.0,4.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,3.0,4.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,1.0,4.0
-1.7195547025456317,0.0,0.0,1.0,0.0,0.0,0.0,4.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,2.0,3.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,2.0,4.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,0.0,4.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,2.0,5.0
-1.7195547025456317,1.0,0.0,0.0,0.0,0.0,0.0,4.0
-1.7195547025456317,1.0,0.0,0.0,0.0,0.0,0.0,4.0
-1.7195547025456317,1.0,0.0,0.0,0.0,0.0,0.0,4.0
-1.7195547025456317,1.0,0.0,0.0,0.0,0.0,0.0,4.0
-1.7195547025456317,1.0,0.0,0.0,0.0,0.0,0.0,4.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,3.0,4.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,1.0,3.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,-2.0,3.0
-1.7195547025456317,0.0,0.0,1.0,0.0,0.0,3.0,4.0
-1.7195547025456317,0.0,1.0,0.0,0.0,0.0,-2.0,4.0
-1.7195547025456317,0.0,1.0,0.0,0.0,0.0,0.0,3.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,3.0,5.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,0.0,4.0
